PDF 文件名,标题,波段信息,材料,设计目的
(综述)个人热管理用红外辐射调制纺织品原理、设计与应用.pdf,"Infrared radiative modulating textiles for personal thermal management: principle, design and application",大气透明窗口波段 3–14μm,"ATO,CNF,PVA,TiO2,PA6,BNNS,LDH,PDMS,PE,PA,PVDF,Al2O3,CA,HPX,SiO2,ZrN,PMMA,Cu,Zn,Ag,BAF,MnO2,Ni,NFM,ATO/CNF/PVA,PE-Au/Ge,TiN,Ag/cellulose/CNT,NanoPE/C/Cu/NanoPE,ZrN/fabric/TiO2,PMMA/PTFE/Cu/Zn,Ag/MnO2,Ag/cellulose/MnO2,silk fibroin,PE/PEO,Ag/PE,NanoPAN/Ag,AgNWs-embedded cloth,BNNS/cellulose/Ni@Ag-NWs,PE-ZnO fibers,ZnO NPs-PE,PVDF,PE/Si3N4@PVDF/PE,TiO2-PLA/PTFE,CA/Al2O3/HPX/PA6/SiO2/HPX,fiber textile,PA/PVDF/PE,polyurethane fibers,NanoPE textiles,SiO2-PA6,BNNS/LDH,ZnO,PE-ZnO fibers,TiO2-coated fabric,ATO hybrid film,polyolefins,NFM,BNNS/LDH,cellulose membrane,hybrid membrane,nanocomposite textile,composite textile,tri-layered structure of PA,PVDF and PE,hydrophilic porous PE/Si3N4@PVDF/PE nanophotonic textile,TiO2-PLA composite woven textile,polytetrafluoroethylene,CA/Al2O3/HPX,PA6/SiO2/HPX,metafabric,biomimetic fiber,PMBs,nanophotonic textile,nanoPAN/Ag textile,AgNWs-embedded cloth,cellulose hybrid membrane,nanophotonic structure textile,tri-layer textile,porous Ag/cellulose/carbon nanotube-laminated nanofiber membrane,bilayer emitter,nanoPE layer",这篇文章全面综述了基于热辐射的设计策略在开发辐射制冷/隔热和Janus辐射织物以实现个人热管理方面的应用。介绍了热舒适的基本概念和传热方式，阐述了红外辐射调制原理及辐射调制织物的设计原则，详细展示了辐射制冷、隔热和Janus辐射织物的设计策略，为个人热管理提供了创新思路和解决方案，有望推动该领域进一步发展。 
16-2020-ZM-APS-Application of ZrB2 thin film as a low emissivity film at high temperature.pdf,Application of ZrB2 thin?lm as a low emissivity ?lm at high temperature,大气透明窗口波段 8–14 μm,"ZrB2,Si","这篇文章通过磁控溅射法在Si(111)衬底上制备了ZrB2薄膜，并对其进行退火处理，研究了退火温度和时间对薄膜的影响。结果表明，ZrB2薄膜具有良好的热稳定性和低红外发射率，在高温环境下具有潜在的应用价值。
1. **目的**：探索ZrB2薄膜在高温环境下作为低红外发射率材料的可行性。
2. **效果**
    - **微观结构**：退火处理显著影响ZrB2薄膜的晶体结构转变，促进了晶粒生长和结晶质量提升。
    - **红外发射率**：ZrB2薄膜在3-5μm波段的红外发射率从0.20降至0.05，在8-14μm波段从0.08降至0.01，展现出优异的低红外发射率特性。
    - **导电性**：薄膜的电阻率在退火后显著降低，在1000℃退火10h后达到最小值~9×10??Ω·m，表明其具有良好的导电性。
3. **结论**：ZrB2薄膜有望成为高温环境下低红外发射率薄膜的理想材料，为红外隐身技术提供了新的解决方案。 "
17-2020-ZM-Solid films-Experimental and theoretical modeling study on the infrared properties of.pdf,Experimental and theoretical modeling study on the infrared properties of ZrB2 thin film,中红外波段，3-14μm,"ZrB2,Si,ZnS,Ar",这篇文章通过直流磁控溅射法在Si(111)和ZnS衬底上制备了不同厚度的ZrB2薄膜，研究了其红外发射率特性。结果表明，ZrB2薄膜的红外发射率随薄膜厚度增加而降低，在3 - 14μm波段具有低红外发射率特性，这使其有望成为高温环境下的红外隐身材料。 文章还探讨了表面粗糙度、电导率与红外发射率之间的关系，并通过理论模型进行了解释。 
"18-2020-ZMMXD-APS-Microstructure, infrared optical properties and thermal stability of ZrB2 and.pdf","Microstructure, infrared optical properties and thermal stability of ZrB 2 and double-layer-structure Al 2O3/ZrB 2 thin films by magnetron sputtering technique",中红外波段，2–14μm,"ZrB2,Al2O3,Si",这篇文章通过磁控溅射法制备了ZrB2薄膜和Al2O3/ZrB2双层薄膜，并对其进行不同温度和时间的退火处理。结果表明，ZrB2薄膜在700°C氧化严重，红外发射率显著增加；而Al2O3/ZrB2双层薄膜在750°C退火2h后红外发射率低至0.16，在600°C下30h内具有良好的热稳定性，平均红外发射率低至0.13。添加Al2O3薄膜有效提高了ZrB2薄膜的抗氧化能力和热稳定性，为其作为低红外发射率涂层的应用提供了实验依据。 
19-2021-WJ-JAC--lamellar structure Cr2AlC Dielectric and microwave.pdf,High antioxidant lamellar structure Cr2AlC: Dielectric and microwave absorption properties in X band,X波段，8–12.4 GHz,"Cr,Al,C,BaCl2,KCl,NaCl",这篇文章提出了一种在高温领域应用的新型微波吸收剂（MA）——Cr2AlC。通过盐浴法制备的高纯度CAC陶瓷具有光滑表面和典型层状结构，在800℃以下结构相对稳定，氧吸收限于表面。经研究发现，70wt%的CAC（CAC70）在2.00mm厚度时，于11.08GHz处有最小反射损耗-25.09dB，有效吸收带宽（低于-10dB）为2.2GHz（10.2 - 12.4GHz），具备良好的阻抗匹配（大于0.07）和衰减特性（280 - 430）。该研究为开发可在更高温度下应用的新型MA提供了新见解。 
20-2021-YJH-JECS-Microstructural and columnar growth characteristics of 7YSZ thermal.pdf,Microstructural and columnar growth characteristics of 7YSZ thermal barrier coatings fabricated by plasma spray physical vapor deposition,否,"ZrO2,Y2O3,NiCoCrAlY",这篇文章通过对PS-PVD制备的7YSZ涂层进行微观结构、相组成、晶粒分布和柱状晶体取向等分析，并结合等离子体射流的温度、速度和压力场数值模拟，研究了7YSZ热障涂层的沉积机制。结果表明，涂层具有典型的羽毛状柱状结构，Zr和Y原子价态稳定，柱状晶体取向一致[101]，不同区域微观硬度从底部到顶部逐渐增加。此研究为优化涂层性能提供了理论依据。 
2002Nature-罗切斯特大学JJ Greffet-发现光栅型光源的相干发射.pdf,Properties of massive protostars predicted from bolometric luminosities,否,SiC,这篇文章提出了一种预测大质量原恒星属性的方法，通过构建基于吸积过程的简单模型，考虑原恒星吸积和解离物质时的总能量，以及氘燃烧等过程，对大质量原恒星的质量和吸积率进行预测。通过与观测数据对比发现，压力值的不确定性对光度较高的原恒星质量影响较小，且模型推算的吸积率比现有模型小2 - 5倍。该研究为大质量原恒星属性的研究提供了新的思路和方法。 
2005Optics letters-巴黎中央理工学院M. Laroche-发现光栅结构的定向发射性.pdf,Highly directional radiation generated by a tungsten thermal source,近红外波段，大于1μm,W,这篇文章设计了一种在近红外波段具有极高指向性的钨热光源，其指向性与CO2激光相当。通过在钨表面刻蚀光栅，实现了表面波与传播波的耦合，增强了发射率和指向性。理论和实验结果均表明，该光源在近红外波段具有高空间相干性，其发射特性在垂直于光栅线的平面上得到了验证。此研究成果在热光伏和红外干燥等领域可能具有广泛应用。 
2007-Emitting Ceramics-巴伐利亚州能源中心-孔洞散射.pdf,Development and Characterization of Low-Emitting Ceramics,红外波段，0.25-18μm,"HfO2,Al2O3,TiO2,Y2O3",这篇文章通过优化陶瓷的成分和结构，制备出低发射率陶瓷，其在1100K时总发射率为0.2，相比典型总发射率0.8的传统陶瓷，热辐射传热减少约70%。文章介绍了辐射在多孔介质中的传输理论，包括发射率定义、辐射传输方程及Mie理论，并阐述了样品制备与实验设置，通过测量和分析得出不同陶瓷的复折射率及发射率等结果。 
2010ASS-Pt红外发射率的研究.pdf,Effects of annealing time on infrared emissivity of the Pt ?lm grown on Ni alloy,中红外波段，3-14μm,"Pt,Ni,Alumina,Cu,K424",这篇文章研究了高温下镍合金上铂薄膜的红外发射率控制，通过在600°C空气中退火不同时间，发现退火时间增加会使铂薄膜晶粒尺寸增大、直流电阻率降低、红外发射率逐渐减小，150h时平均红外发射率低至约0.1，且铂薄膜在该温度下抗氧化性能良好，为低发射率层应用提供了依据。 
